"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032479","regulation of type I interferon production","2/23","128/18986",0.015625,12.898097826087,4.70381681979353,0.0104005549795915,0.191511839224852,0.157122716391906,"UAP1/YY1",2
"GO:0032606","type I interferon production","2/23","128/18986",0.015625,12.898097826087,4.70381681979353,0.0104005549795915,0.191511839224852,0.157122716391906,"UAP1/YY1",2
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","1/23","10/18986",0.1,82.5478260869565,8.98308995050663,0.0120512042305451,0.191511839224852,0.157122716391906,"RNU5A-1",1
"GO:0000365","mRNA trans splicing, via spliceosome","1/23","10/18986",0.1,82.5478260869565,8.98308995050663,0.0120512042305451,0.191511839224852,0.157122716391906,"RNU5A-1",1
"GO:0006048","UDP-N-acetylglucosamine biosynthetic process","1/23","10/18986",0.1,82.5478260869565,8.98308995050663,0.0120512042305451,0.191511839224852,0.157122716391906,"UAP1",1
"GO:0045291","mRNA trans splicing, SL addition","1/23","10/18986",0.1,82.5478260869565,8.98308995050663,0.0120512042305451,0.191511839224852,0.157122716391906,"RNU5A-1",1
"GO:0030183","B cell differentiation","2/23","139/18986",0.0143884892086331,11.877385048483,4.4825638403048,0.0121741199390857,0.191511839224852,0.157122716391906,"IRF2BP2/YY1",2
"GO:0038003","G protein-coupled opioid receptor signaling pathway","1/23","12/18986",0.0833333333333333,68.7898550724638,8.18072090719962,0.0144447170522238,0.191511839224852,0.157122716391906,"SIGMAR1",1
"GO:0002327","immature B cell differentiation","1/23","13/18986",0.0769230769230769,63.4983277591973,7.85032734211654,0.0156393924768992,0.191511839224852,0.157122716391906,"IRF2BP2",1
"GO:0046349","amino sugar biosynthetic process","1/23","13/18986",0.0769230769230769,63.4983277591973,7.85032734211654,0.0156393924768992,0.191511839224852,0.157122716391906,"UAP1",1
"GO:0061052","negative regulation of cell growth involved in cardiac muscle cell development","1/23","13/18986",0.0769230769230769,63.4983277591973,7.85032734211654,0.0156393924768992,0.191511839224852,0.157122716391906,"YY1",1
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","1/23","14/18986",0.0714285714285714,58.9627329192547,7.55565310107596,0.0168326826246369,0.191511839224852,0.157122716391906,"UQCRC2",1
"GO:0010225","response to UV-C","1/23","14/18986",0.0714285714285714,58.9627329192547,7.55565310107596,0.0168326826246369,0.191511839224852,0.157122716391906,"YY1",1
"GO:1903265","positive regulation of tumor necrosis factor-mediated signaling pathway","1/23","14/18986",0.0714285714285714,58.9627329192547,7.55565310107596,0.0168326826246369,0.191511839224852,0.157122716391906,"MIR1246",1
"GO:0006047","UDP-N-acetylglucosamine metabolic process","1/23","15/18986",0.0666666666666667,55.031884057971,7.29065126607228,0.0180245890287923,0.191511839224852,0.157122716391906,"UAP1",1
"GO:0032688","negative regulation of interferon-beta production","1/23","15/18986",0.0666666666666667,55.031884057971,7.29065126607228,0.0180245890287923,0.191511839224852,0.157122716391906,"YY1",1
"GO:0070207","protein homotrimerization","1/23","15/18986",0.0666666666666667,55.031884057971,7.29065126607228,0.0180245890287923,0.191511839224852,0.157122716391906,"SIGMAR1",1
"GO:1904507","positive regulation of telomere maintenance in response to DNA damage","1/23","15/18986",0.0666666666666667,55.031884057971,7.29065126607228,0.0180245890287923,0.191511839224852,0.157122716391906,"YY1",1
"GO:0033151","V(D)J recombination","1/23","17/18986",0.0588235294117647,48.5575447570332,6.83183492228863,0.0204042567316952,0.191511839224852,0.157122716391906,"YY1",1
"GO:0060382","regulation of DNA strand elongation","1/23","17/18986",0.0588235294117647,48.5575447570332,6.83183492228863,0.0204042567316952,0.191511839224852,0.157122716391906,"YY1",1
"GO:0061548","ganglion development","1/23","17/18986",0.0588235294117647,48.5575447570332,6.83183492228863,0.0204042567316952,0.191511839224852,0.157122716391906,"TUBB3",1
"GO:0070206","protein trimerization","1/23","18/18986",0.0555555555555556,45.8599033816425,6.63131276996639,0.0215920210890764,0.191511839224852,0.157122716391906,"SIGMAR1",1
"GO:0090110","COPII-coated vesicle cargo loading","1/23","18/18986",0.0555555555555556,45.8599033816425,6.63131276996639,0.0215920210890764,0.191511839224852,0.157122716391906,"SEC24C",1
"GO:1904505","regulation of telomere maintenance in response to DNA damage","1/23","19/18986",0.0526315789473684,43.4462242562929,6.44662248840724,0.0227784078201474,0.193616466471253,0.158849422956291,"YY1",1
