"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000146833.16",0.696236772510355,-0.00576029268637993,0.535514371674538,-0.0184659125208567,0.985267170794285,NA
"ENSG00000176402.6",0,NA,NA,NA,NA,NA
"ENSG00000237640.1",0,NA,NA,NA,NA,NA
"ENSG00000199711.1",0,NA,NA,NA,NA,NA
"ENSG00000222966.1",0,NA,NA,NA,NA,NA
"ENSG00000160862.13",0.142716665791026,-0.1572788514131,0.365392376950835,-0.403713280840591,0.686423572290421,NA
"ENSG00000286921.1",0,NA,NA,NA,NA,NA
"ENSG00000214313.8",0,NA,NA,NA,NA,NA
"ENSG00000235713.1",0,NA,NA,NA,NA,NA
"ENSG00000286923.1",0,NA,NA,NA,NA,NA
"ENSG00000106261.17",3.26297496337744,0.646294122012502,0.488404685162986,1.32584048303442,0.184892540457028,0.712796411204664
"ENSG00000166529.15",0.141075633678728,-0.123882759017045,0.365310394922599,-0.3415825387046,0.732665079726621,NA
"ENSG00000166526.18",1.07776595493626,-0.176005985079103,0.566438276553737,-0.405759788175109,0.684919107414008,NA
"ENSG00000168090.10",1.52652012102777,-0.0324561445904349,0.557378390428249,-0.0581518852602115,0.953627645822585,NA
"ENSG00000166508.18",3.77363326886486,0.211832646294042,0.457563523549224,0.457857229451055,0.647055016666737,0.941142727624566
"ENSG00000207547.1",10338.6093646062,0.408640158014429,0.415901718921935,1.1414144756901,0.253697483574268,0.752423304733387
"ENSG00000207757.1",1923.24611650482,0.265664337345082,0.373123735541729,0.745738125300808,0.45582562364466,0.874399476169744
"ENSG00000208036.1",6370.67573363191,0.356849026624783,0.378590593797394,0.97851010195068,0.327822097510939,0.806646769707804
"ENSG00000221838.10",0.511107054041604,0.140814790418066,0.485018821172351,0.294634571983517,0.768273049267495,NA
"ENSG00000106290.15",0.47564422179149,-0.313009209713561,0.480549824333897,-0.598186637952906,0.549715406213731,NA
"ENSG00000242798.1",0,NA,NA,NA,NA,NA
"ENSG00000166997.8",0.104178171040961,-0.0116637817443612,0.365267443104788,-0.0283883346806452,0.97735242802937,NA
"ENSG00000214309.5",0,NA,NA,NA,NA,NA
"ENSG00000235077.1",0,NA,NA,NA,NA,NA
"ENSG00000214142.2",0,NA,NA,NA,NA,NA
"ENSG00000188186.10",0.283906565519151,0.0881074178477249,0.399318083390671,0.224161282080969,0.822631809294359,NA
"ENSG00000146826.17",0.980451053055257,0.751301536551463,0.558517338075259,1.45389695091575,0.145974878301234,NA
"ENSG00000284518.1",5.95911222528293,0.547471178725984,0.428925702329734,1.28388162222147,0.199183378477856,0.730597567665524
"ENSG00000197093.11",0.159808250748236,-0.0309283157184519,0.365293507423767,-0.0969270930745211,0.922784292941141,NA
"ENSG00000213420.8",0.0780841399365377,-0.0824243470944037,0.365061034087844,-0.236397224459135,0.813124449729345,NA
"ENSG00000066923.18",0,NA,NA,NA,NA,NA
"ENSG00000239521.9",0.815981489582899,0.373934173953759,0.551669376636859,0.639781870557533,0.522314420584553,NA
"ENSG00000213413.2",0,NA,NA,NA,NA,NA
"ENSG00000214300.7",0,NA,NA,NA,NA,NA
"ENSG00000078319.10",0.0265202916086958,-0.0697790832525442,0.365063658795212,-0.184250255011182,0.853817136477877,NA
"ENSG00000201913.1",0.162892691850884,-0.0309283161554049,0.365293507425619,-0.096927093074521,0.922784292941141,NA
"ENSG00000242294.6",0,NA,NA,NA,NA,NA
"ENSG00000272752.6",0,NA,NA,NA,NA,NA
"ENSG00000121716.20",0.29743809519249,0.0499359967497272,0.405746576939819,0.0583775850457304,0.953447868859413,NA
"ENSG00000235333.3",0,NA,NA,NA,NA,NA
