"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006605","protein targeting","3/14","335/18986",0.00895522388059702,12.1445628997868,5.59045482977592,0.00171513406281375,0.13199633459485,0.0939650020226493,"SQSTM1/RN7SL3/ERBB2",3
"GO:0035278","miRNA-mediated gene silencing by inhibition of translation","2/14","99/18986",0.0202020202020202,27.3968253968254,7.15320328783228,0.00235133194554203,0.13199633459485,0.0939650020226493,"MIR148A/MIR148B",2
"GO:1905477","positive regulation of protein localization to membrane","2/14","105/18986",0.019047619047619,25.8312925170068,6.93097352642151,0.00263984540215694,0.13199633459485,0.0939650020226493,"SQSTM1/ERBB2",2
"GO:0006612","protein targeting to membrane","2/14","129/18986",0.0155038759689922,21.0254706533776,6.19946264062029,0.00395156574036822,0.13199633459485,0.0939650020226493,"RN7SL3/ERBB2",2
"GO:0006417","regulation of translation","3/14","461/18986",0.00650759219088937,8.82522466687326,4.62041441595322,0.00424066321952334,0.13199633459485,0.0939650020226493,"MIR148A/MIR148B/ERBB2",3
"GO:0007034","vacuolar transport","2/14","173/18986",0.0115606936416185,15.6779521056978,5.26832126572414,0.00699047216525539,0.13199633459485,0.0939650020226493,"SQSTM1/IGF2R",2
"GO:0006265","DNA topological change","1/14","10/18986",0.1,135.614285714286,11.5664897108921,0.00735117103272132,0.13199633459485,0.0939650020226493,"TOP2A",1
"GO:0038129","ERBB3 signaling pathway","1/14","10/18986",0.1,135.614285714286,11.5664897108921,0.00735117103272132,0.13199633459485,0.0939650020226493,"ERBB2",1
"GO:0000425","pexophagy","1/14","11/18986",0.0909090909090909,123.285714285714,11.0203131517532,0.00808352155999448,0.13199633459485,0.0939650020226493,"SQSTM1",1
"GO:0033085","negative regulation of T cell differentiation in thymus","1/14","11/18986",0.0909090909090909,123.285714285714,11.0203131517532,0.00808352155999448,0.13199633459485,0.0939650020226493,"ERBB2",1
"GO:0038130","ERBB4 signaling pathway","1/14","11/18986",0.0909090909090909,123.285714285714,11.0203131517532,0.00808352155999448,0.13199633459485,0.0939650020226493,"ERBB2",1
"GO:1905475","regulation of protein localization to membrane","2/14","194/18986",0.0103092783505155,13.980854197349,4.93662792502262,0.00871880097380555,0.13199633459485,0.0939650020226493,"SQSTM1/ERBB2",2
"GO:0110075","regulation of ferroptosis","1/14","12/18986",0.0833333333333333,113.011904761905,10.5435804938246,0.00881537034514124,0.13199633459485,0.0939650020226493,"SQSTM1",1
"GO:1900121","negative regulation of receptor binding","1/14","12/18986",0.0833333333333333,113.011904761905,10.5435804938246,0.00881537034514124,0.13199633459485,0.0939650020226493,"MIR148A",1
"GO:0033083","regulation of immature T cell proliferation","1/14","13/18986",0.0769230769230769,104.318681318681,10.1226748685441,0.0095467177054851,0.13199633459485,0.0939650020226493,"ERBB2",1
"GO:0033084","regulation of immature T cell proliferation in thymus","1/14","13/18986",0.0769230769230769,104.318681318681,10.1226748685441,0.0095467177054851,0.13199633459485,0.0939650020226493,"ERBB2",1
"GO:0097707","ferroptosis","1/14","13/18986",0.0769230769230769,104.318681318681,10.1226748685441,0.0095467177054851,0.13199633459485,0.0939650020226493,"SQSTM1",1
"GO:0006617","SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition","1/14","14/18986",0.0714285714285714,96.8673469387755,9.74744804843069,0.0102775639581667,0.13199633459485,0.0939650020226493,"RN7SL3",1
